ID_ARCHETYPE,archetype,perc_wall,wall_count,wall_mean,wall_std,wall_min,wall_Q1,wall_Q2,wall_Q3,wall_max,wall_EP_ISOL_M1_med,wall_EP_ISOL_M1_moy,perc_roof,roof_count,roof_mean,roof_std,roof_min,roof_Q1,roof_Q2,roof_Q3,roof_max,roof_EP_ISOL_T1_med,roof_EP_ISOL_T1_moy
HAB_P_P1_TGRE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRES_TUILE,31.4,4225,1.936,0.135,1.65,1.9,2.0,2.0,2.5,0.0,0.0,20.6,2772,1.918,0.572,1.2,1.2,2.3,2.5,4.62,0,0
HAB_P_P1_TMEU,P1-P-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,0.2,7,2.5,0.0,2.5,2.5,2.5,2.5,2.5,0.0,0.0,21.1,621,1.88,0.578,1.2,1.2,2.0,2.5,2.5,0,0
HAB_P_P1_TSCH_TUI,P1-P-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,0.0,0,,,,,,,,,,26.7,384,2.109,0.51,1.2,1.45,2.5,2.5,2.5,0,0
HAB_P_P1_TER_TUI,P1-P-HABITAT-FRANCE_TERRE_TUILE,30.2,707,1.915,0.167,1.55,1.81,2.0,2.0,2.5,0.0,0.0,17.8,416,1.922,0.578,1.2,1.2,2.3,2.5,2.5,0,0
COM_I_P2_TF,P2-I-COMMERCE-FRANCE,0.2,1,2.5,,2.5,2.5,2.5,2.5,2.5,0.0,0.0,27.0,171,2.5,0.0,2.5,2.5,2.5,2.5,2.5,0,0
HAB_I_P2_TAR,P2-I-HABITAT-FRANCE_ARDOISE,0.4,205,2.589,0.23,2.5,2.5,2.5,2.5,4.2,0.0,0.0,54.0,26788,2.386,0.34,1.2,2.5,2.5,2.5,4.2,0,0
HAB_I_P2_TBR,P2-I-HABITAT-FRANCE_TUILE,0.4,205,2.589,0.23,2.5,2.5,2.5,2.5,4.2,0.0,0.0,54.0,26788,2.386,0.34,1.2,2.5,2.5,2.5,4.2,0,0
TER_I_P2_TF,P2-I-TERTIAIRE-FRANCE,0.0,0,,,,,,,,,,21.900000000000002,70,2.506,0.048,2.5,2.5,2.5,2.5,2.9,0,0
HAB_P_P2_TAR,P2-P-HABITAT-FRANCE_ARDOISE,35.6,124622,2.005,0.049,2.0,2.0,2.0,2.0,4.35,0.0,0.0,17.7,61963,2.118,0.529,1.2,1.45,2.5,2.5,4.4,0,0
HAB_P_P2_TBR,P2-P-HABITAT-FRANCE_TUILE,35.6,124622,2.005,0.049,2.0,2.0,2.0,2.0,4.35,0.0,0.0,17.7,61963,2.118,0.529,1.2,1.45,2.5,2.5,4.4,0,0
HAB_I_P3_TAR,P3-I-HABITAT-FRANCE_ARDOISE,57.199999999999996,7852,1.368,0.498,0.8,0.98,1.05,2.0,3.03,2.0,1.0,69.0,9472,1.788,0.91,0.4,0.71,2.5,2.5,3.57,0,0
HAB_I_P3_TBR,P3-I-HABITAT-FRANCE_TUILE,57.199999999999996,7852,1.368,0.498,0.8,0.98,1.05,2.0,3.03,2.0,1.0,69.0,9472,1.788,0.91,0.4,0.71,2.5,2.5,3.57,0,0
