ID_ARCHETYPE,archetype,U_wall_0,U_wall_min,U_wall_max,perc_below_lim_wall,perc_within_lim_wall,perc_above_lim_wall,U_roof_0_moy,U_roof_min,U_roof_max,perc_below_lim_roof,perc_within_lim_roof,perc_above_lim_roof,dist_perc_wall,dist_wall_count,dist_wall_mean,dist_wall_std,dist_wall_min,dist_wall_Q1,dist_wall_Q2,dist_wall_Q3,dist_wall_max,dist_wall_EP_ISOL_M1_med,dist_wall_EP_ISOL_M1_moy,dist_perc_roof,dist_roof_count,dist_roof_mean,dist_roof_std,dist_roof_min,dist_roof_Q1,dist_roof_Q2,dist_roof_Q3,dist_roof_max,dist_roof_EP_ISOL_T1_moy,dist_roof_EP_ISOL_T1_med,renov_perc_wall,renov_wall_count,renov_wall_mean,renov_wall_std,renov_wall_min,renov_wall_Q1,renov_wall_Q2,renov_wall_Q3,renov_wall_max,renov_wall_EP_ISOL_M1_med,renov_wall_EP_ISOL_M1_moy,renov_perc_roof,renov_roof_count,renov_roof_mean,renov_roof_std,renov_roof_min,renov_roof_Q1,renov_roof_Q2,renov_roof_Q3,renov_roof_max,renov_roof_EP_ISOL_T1_moy,renov_roof_EP_ISOL_T1_med,nonrnv_perc_wall,nonrnv_wall_count,nonrnv_wall_mean,nonrnv_wall_std,nonrnv_wall_min,nonrnv_wall_Q1,nonrnv_wall_Q2,nonrnv_wall_Q3,nonrnv_wall_max,nonrnv_wall_EP_ISOL_M1_med,nonrnv_wall_EP_ISOL_M1_moy,nonrnv_perc_roof,nonrnv_roof_count,nonrnv_roof_mean,nonrnv_roof_std,nonrnv_roof_min,nonrnv_roof_Q1,nonrnv_roof_Q2,nonrnv_roof_Q3,nonrnv_roof_max,nonrnv_roof_EP_ISOL_T1_med,nonrnv_roof_EP_ISOL_T1_moy
HAB_I_P3_TAR,P3-I-HABITAT-FRANCE_ARDOISE,2.8,0.8,1.65,42.8,35.8,21.4,1.7375,0.4,2.3,31.0,27.3,41.7,100,13728,0.972,0.6,0.05,0.44,0.84,1.18,3.03,3,3,100,13728,1.305,1.045,0.06,0.31,0.75,2.5,3.57,1,3,42.8,5876,0.443,0.144,0.05,0.35,0.42,0.54,0.79,8,8,31.0,4256,0.231,0.073,0.06,0.18,0.22,0.3,0.39,15,16,57.199999999999996,7852,1.368,0.498,0.8,0.98,1.05,2.0,3.03,2.0,1.0,69.0,9472,1.788,0.91,0.4,0.71,2.5,2.5,3.57,0,0
HAB_I_P3_TBR,P3-I-HABITAT-FRANCE_TUILE,2.8,0.8,1.65,42.8,35.8,21.4,1.7375,0.4,2.3,31.0,27.3,41.7,100,13728,0.972,0.6,0.05,0.44,0.84,1.18,3.03,3,3,100,13728,1.305,1.045,0.06,0.31,0.75,2.5,3.57,1,3,42.8,5876,0.443,0.144,0.05,0.35,0.42,0.54,0.79,8,8,31.0,4256,0.231,0.073,0.06,0.18,0.22,0.3,0.39,15,16,57.199999999999996,7852,1.368,0.498,0.8,0.98,1.05,2.0,3.03,2.0,1.0,69.0,9472,1.788,0.91,0.4,0.71,2.5,2.5,3.57,0,0
HAB_P_P3_TAR,P3-P-HABITAT-FRANCE_ARDOISE,2.0,0.5,1.12,33.6,52.2,14.1,1.7375,0.4,2.3,71.9,24.3,3.8,100,185528,0.816,0.49,0.05,0.42,0.74,1.0,3.0,3,3,100,185528,0.388,0.482,0.05,0.18,0.24,0.4,4.17,8,14,33.6,62423,0.371,0.071,0.05,0.34,0.36,0.42,0.49,9,9,71.9,133420,0.212,0.073,0.05,0.17,0.19,0.25,0.39,17,19,66.3,123105,1.041,0.456,0.5,0.74,0.9,1.05,3.0,2.0,2.0,28.1,52108,0.838,0.729,0.4,0.42,0.5,0.67,4.17,6,2
HAB_P_P3_TBR,P3-P-HABITAT-FRANCE_TUILE,2.0,0.5,1.12,33.6,52.2,14.1,1.7375,0.4,2.3,71.9,24.3,3.8,100,185528,0.816,0.49,0.05,0.42,0.74,1.0,3.0,3,3,100,185528,0.388,0.482,0.05,0.18,0.24,0.4,4.17,8,14,33.6,62423,0.371,0.071,0.05,0.34,0.36,0.42,0.49,9,9,71.9,133420,0.212,0.073,0.05,0.17,0.19,0.25,0.39,17,19,66.3,123105,1.041,0.456,0.5,0.74,0.9,1.05,3.0,2.0,2.0,28.1,52108,0.838,0.729,0.4,0.42,0.5,0.67,4.17,6,2
HAB_I_P4_TAR,P4-I-HABITAT-FRANCE_ARDOISE,2.05,0.5,0.89,43.6,42.4,14.0,1.7375,0.26,0.33,23.3,17.2,59.5,100,11838,0.683,0.42,0.06,0.4,0.61,0.8,2.86,5,4,100,11838,1.149,1.049,0.06,0.26,0.42,2.5,3.0,1,7,43.6,5166,0.379,0.072,0.06,0.35,0.36,0.43,0.49,9,9,23.3,2758,0.188,0.041,0.06,0.17,0.19,0.23,0.25,19,19,56.4,6672,0.919,0.427,0.5,0.7,0.74,0.89,2.86,3.0,2.0,76.7,9080,1.441,1.034,0.26,0.34,1.45,2.5,3.0,0,0
HAB_I_P4_TBR,P4-I-HABITAT-FRANCE_TUILE,2.05,0.5,0.89,43.6,42.4,14.0,1.7375,0.26,0.33,23.3,17.2,59.5,100,11838,0.683,0.42,0.06,0.4,0.61,0.8,2.86,5,4,100,11838,1.149,1.049,0.06,0.26,0.42,2.5,3.0,1,7,43.6,5166,0.379,0.072,0.06,0.35,0.36,0.43,0.49,9,9,23.3,2758,0.188,0.041,0.06,0.17,0.19,0.23,0.25,19,19,56.4,6672,0.919,0.427,0.5,0.7,0.74,0.89,2.86,3.0,2.0,76.7,9080,1.441,1.034,0.26,0.34,1.45,2.5,3.0,0,0
HAB_P_P4_TAR,P4-P-HABITAT-FRANCE_ARDOISE,2.0,0.57,0.89,55.6,37.1,7.3,1.7375,0.26,0.33,58.8,21.8,19.5,100,144873,0.594,0.312,0.05,0.36,0.48,0.74,3.5,6,5,100,144873,0.309,0.361,0.05,0.18,0.24,0.32,2.5,11,14,55.6,80594,0.391,0.077,0.05,0.35,0.38,0.45,0.56,9,8,58.8,85140,0.182,0.042,0.05,0.15,0.19,0.2,0.25,20,19,44.4,64279,0.849,0.308,0.57,0.7,0.74,0.84,3.5,3.0,3.0,41.3,59733,0.49,0.507,0.26,0.3,0.33,0.42,2.5,10,6
HAB_P_P4_TBR,P4-P-HABITAT-FRANCE_TUILE,2.0,0.57,0.89,55.6,37.1,7.3,1.7375,0.26,0.33,58.8,21.8,19.5,100,144873,0.594,0.312,0.05,0.36,0.48,0.74,3.5,6,5,100,144873,0.309,0.361,0.05,0.18,0.24,0.32,2.5,11,14,55.6,80594,0.391,0.077,0.05,0.35,0.38,0.45,0.56,9,8,58.8,85140,0.182,0.042,0.05,0.15,0.19,0.2,0.25,20,19,44.4,64279,0.849,0.308,0.57,0.7,0.74,0.84,3.5,3.0,3.0,41.3,59733,0.49,0.507,0.26,0.3,0.33,0.42,2.5,10,6
HAB_I_P5_TAR,P5-I-HABITAT-FRANCE_ARDOISE,2.9,0.45,0.57,38.8,46.9,14.3,1.7375,0.21,0.3,15.2,28.5,56.3,100,23434,0.538,0.362,0.05,0.36,0.45,0.47,2.7,8,6,100,23434,1.179,1.081,0.06,0.25,0.37,2.5,3.0,1,9,38.8,9083,0.359,0.05,0.05,0.34,0.35,0.4,0.44,10,10,15.2,3567,0.173,0.028,0.06,0.16,0.19,0.19,0.2,21,19,61.2,14351,0.651,0.423,0.45,0.45,0.47,0.56,2.7,7.0,5.0,84.8,19867,1.359,1.079,0.21,0.26,0.71,2.5,3.0,3,1
HAB_I_P5_TBR,P5-I-HABITAT-FRANCE_TUILE,2.9,0.45,0.57,38.8,46.9,14.3,1.7375,0.21,0.3,15.2,28.5,56.3,100,23434,0.538,0.362,0.05,0.36,0.45,0.47,2.7,8,6,100,23434,1.179,1.081,0.06,0.25,0.37,2.5,3.0,1,9,38.8,9083,0.359,0.05,0.05,0.34,0.35,0.4,0.44,10,10,15.2,3567,0.173,0.028,0.06,0.16,0.19,0.19,0.2,21,19,61.2,14351,0.651,0.423,0.45,0.45,0.47,0.56,2.7,7.0,5.0,84.8,19867,1.359,1.079,0.21,0.26,0.71,2.5,3.0,3,1
HAB_P_P5_TAR,P5-P-HABITAT-FRANCE_ARDOISE,2.0,0.45,0.57,51.2,41.9,6.9,1.7375,0.21,0.3,49.6,40.2,10.2,100,141836,0.456,0.231,0.05,0.35,0.42,0.47,2.61,8,7,100,141836,0.273,0.333,0.05,0.18,0.22,0.26,2.5,12,16,51.2,72630,0.355,0.049,0.05,0.34,0.35,0.39,0.44,9,9,49.6,70330,0.167,0.029,0.05,0.15,0.18,0.19,0.2,22,20,48.8,69206,0.561,0.291,0.45,0.45,0.47,0.5,2.61,7.0,5.0,50.400000000000006,71506,0.376,0.444,0.21,0.25,0.26,0.3,2.5,13,8
HAB_P_P5_TBR,P5-P-HABITAT-FRANCE_TUILE,2.0,0.45,0.57,51.2,41.9,6.9,1.7375,0.21,0.3,49.6,40.2,10.2,100,141836,0.456,0.231,0.05,0.35,0.42,0.47,2.61,8,7,100,141836,0.273,0.333,0.05,0.18,0.22,0.26,2.5,12,16,51.2,72630,0.355,0.049,0.05,0.34,0.35,0.39,0.44,9,9,49.6,70330,0.167,0.029,0.05,0.15,0.18,0.19,0.2,22,20,48.8,69206,0.561,0.291,0.45,0.45,0.47,0.5,2.61,7.0,5.0,50.400000000000006,71506,0.376,0.444,0.21,0.25,0.26,0.3,2.5,13,8
HAB_I_P6_TAR,P6-I-HABITAT-FRANCE_ARDOISE,2.9,0.35,0.47,14.0,76.6,9.4,1.7375,0.17,0.3,7.1,51.3,41.6,100,31734,0.451,0.324,0.06,0.35,0.36,0.4,3.01,10,7,100,31734,1.051,1.079,0.05,0.2,0.27,2.5,2.5,2,13,14.0,4442,0.294,0.053,0.06,0.28,0.32,0.33,0.34,11,12,7.1,2261,0.133,0.02,0.05,0.13,0.13,0.15,0.16,28,28,86.0,27292,0.477,0.342,0.35,0.36,0.38,0.4,3.01,9.0,7.0,92.9,29473,1.122,1.088,0.17,0.2,0.29,2.5,2.5,11,1
HAB_I_P6_TBR,P6-I-HABITAT-FRANCE_TUILE,2.9,0.35,0.47,14.0,76.6,9.4,1.7375,0.17,0.3,7.1,51.3,41.6,100,31734,0.451,0.324,0.06,0.35,0.36,0.4,3.01,10,7,100,31734,1.051,1.079,0.05,0.2,0.27,2.5,2.5,2,13,14.0,4442,0.294,0.053,0.06,0.28,0.32,0.33,0.34,11,12,7.1,2261,0.133,0.02,0.05,0.13,0.13,0.15,0.16,28,28,86.0,27292,0.477,0.342,0.35,0.36,0.38,0.4,3.01,9.0,7.0,92.9,29473,1.122,1.088,0.17,0.2,0.29,2.5,2.5,11,1
TER_I_P6_TF,P6-I-TERTIAIRE-FRANCE,0.4484304932735426,0.36,0.47,28.3,49.2,22.5,1.975,0.27,0.32,56.0,9.9,34.1,100,364,0.595,0.514,0.14,0.35,0.4,0.47,2.5,1,0,100,364,0.759,0.944,0.1,0.19,0.23,0.61,2.5,3,15,28.3,103,0.317,0.051,0.14,0.3,0.34,0.35,0.35,3,4,56.0,204,0.189,0.037,0.1,0.17,0.19,0.2,0.26,19,19,71.7,261,0.705,0.57,0.36,0.36,0.42,0.7,2.5,1.0,0.0,44.0,160,1.486,1.041,0.27,0.34,2.3,2.5,2.5,0,1
HAB_P_P6_TAR,P6-P-HABITAT-FRANCE_ARDOISE,2.8,0.35,0.47,25.2,70.5,4.3,1.7375,0.17,0.3,30.7,65.2,4.1,100,214978,0.385,0.204,0.05,0.34,0.36,0.4,5.0,10,9,100,214978,0.229,0.292,0.05,0.15,0.19,0.23,2.5,15,19,25.2,54095,0.285,0.054,0.05,0.26,0.3,0.33,0.34,12,13,30.7,66044,0.135,0.02,0.05,0.13,0.14,0.15,0.16,27,26,74.8,160883,0.419,0.224,0.35,0.35,0.36,0.4,5.0,10.0,8.0,69.3,148934,0.27,0.342,0.17,0.19,0.2,0.23,2.5,18,13
HAB_P_P6_TBR,P6-P-HABITAT-FRANCE_TUILE,2.8,0.35,0.47,25.2,70.5,4.3,1.7375,0.17,0.3,30.7,65.2,4.1,100,214978,0.385,0.204,0.05,0.34,0.36,0.4,5.0,10,9,100,214978,0.229,0.292,0.05,0.15,0.19,0.23,2.5,15,19,25.2,54095,0.285,0.054,0.05,0.26,0.3,0.33,0.34,12,13,30.7,66044,0.135,0.02,0.05,0.13,0.14,0.15,0.16,27,26,74.8,160883,0.419,0.224,0.35,0.35,0.36,0.4,5.0,10.0,8.0,69.3,148934,0.27,0.342,0.17,0.19,0.2,0.23,2.5,18,13
HAB_I_P7_TBR,P7-I-HABITAT-FRANCE_ARDOISE,1.9,0.22,0.4,8.6,67.4,24.0,1.7375,0.12,0.25,4.5,47.9,47.6,100,9137,0.534,0.51,0.06,0.3,0.36,0.4,2.5,9,5,100,9137,0.799,0.972,0.06,0.19,0.25,1.45,2.5,3,14,8.6,785,0.175,0.028,0.06,0.16,0.18,0.19,0.21,20,21,4.5,412,0.099,0.011,0.06,0.09,0.1,0.11,0.11,38,38,91.4,8352,0.568,0.521,0.22,0.33,0.36,0.42,2.5,9.0,5.0,95.5,8725,0.832,0.982,0.12,0.19,0.25,2.0,2.5,14,3
HAB_I_P7_TAR,P7-I-HABITAT-FRANCE_TUILE,1.9,0.22,0.4,8.6,67.4,24.0,1.7375,0.12,0.25,4.5,47.9,47.6,100,9137,0.534,0.51,0.06,0.3,0.36,0.4,2.5,9,5,100,9137,0.799,0.972,0.06,0.19,0.25,1.45,2.5,3,14,8.6,785,0.175,0.028,0.06,0.16,0.18,0.19,0.21,20,21,4.5,412,0.099,0.011,0.06,0.09,0.1,0.11,0.11,38,38,91.4,8352,0.568,0.521,0.22,0.33,0.36,0.42,2.5,9.0,5.0,95.5,8725,0.832,0.982,0.12,0.19,0.25,2.0,2.5,14,3
HAB_P_P7_TAR,P7-P-HABITAT-FRANCE_ARDOISE,2.8,0.22,0.4,11.5,72.0,16.6,1.7375,0.12,0.25,15.3,69.2,15.5,100,48162,0.437,0.406,0.05,0.27,0.35,0.36,4.3,10,8,100,48162,0.267,0.435,0.05,0.13,0.16,0.2,2.5,13,23,11.5,5537,0.176,0.03,0.05,0.16,0.18,0.2,0.21,21,21,15.3,7380,0.099,0.011,0.05,0.1,0.1,0.11,0.11,38,38,88.6,42625,0.471,0.42,0.22,0.3,0.35,0.39,4.3,10.0,7.0,84.7,40782,0.298,0.466,0.12,0.13,0.19,0.23,2.5,19,11
HAB_P_P7_TBR,P7-P-HABITAT-FRANCE_TUILE,2.8,0.22,0.4,11.5,72.0,16.6,1.7375,0.12,0.25,15.3,69.2,15.5,100,48162,0.437,0.406,0.05,0.27,0.35,0.36,4.3,10,8,100,48162,0.267,0.435,0.05,0.13,0.16,0.2,2.5,13,23,11.5,5537,0.176,0.03,0.05,0.16,0.18,0.2,0.21,21,21,15.3,7380,0.099,0.011,0.05,0.1,0.1,0.11,0.11,38,38,88.6,42625,0.471,0.42,0.22,0.3,0.35,0.39,4.3,10.0,7.0,84.7,40782,0.298,0.466,0.12,0.13,0.19,0.23,2.5,19,11
