CODE_DEPT,MAT_MURS,MAT_TOITS,TERR_P1,TERR_P2-P7,CODE_REG
70,LIMESTONE,TILE_MAJORITY,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,27
71,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,27
72,BRICK,SLATE_TILE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,52
73,WOOD,SLATE,FRANCE_BOIS_ARDOISE,FRANCE_ARDOISE,84
74,WOOD,TILE,FRANCE_BOIS_TUILE,FRANCE_TUILE,84
75,LIMESTONE,ZINC,FRANCE_PIERRE_CALCAIRE_ZINC,FRANCE_TUILE,11
76,BRICK,SLATE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,28
77,LIMESTONE,TILE_MAJORITY,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,11
78,BRICK,SLATE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,11
79,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,75
80,BRICK,SLATE_TILE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,32
81,SANDSTONE,TILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,76
82,GNEISS,TILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,76
83,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,93
84,GNEISS,TILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,93
85,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,52
86,LIMESTONE,SLATE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,75
87,GRANITE,SLATE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,75
88,SANDSTONE,TILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,44
89,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,27
90,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,27
91,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,11
92,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,11
93,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,11
94,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,11
95,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,11
