ID_ARCHETYPE,archetype,perc_wall,wall_count,wall_mean,wall_std,wall_min,wall_Q1,wall_Q2,wall_Q3,wall_max,wall_EP_ISOL_M1_med,wall_EP_ISOL_M1_moy,perc_roof,roof_count,roof_mean,roof_std,roof_min,roof_Q1,roof_Q2,roof_Q3,roof_max,roof_EP_ISOL_T1_med,roof_EP_ISOL_T1_moy
HAB_P_P1_TMEU,P1-P-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,99.8,2936,0.998,0.711,0.05,0.35,0.62,1.75,2.34,5,2,78.9,2322,0.251,0.142,0.05,0.17,0.2,0.3,1.11,14,18
HAB_P_P1_TSCH_TUI,P1-P-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,100.0,1439,1.289,0.724,0.1,0.42,1.68,2.0,2.0,1,1,73.3,1055,0.28,0.157,0.06,0.18,0.24,0.33,1.07,12,14
HAB_P_P1_TER_TUI,P1-P-HABITAT-FRANCE_TERRE_TUILE,69.8,1636,0.465,0.254,0.08,0.33,0.36,0.47,1.52,9,6,82.2,1927,0.245,0.145,0.06,0.17,0.19,0.29,1.11,14,19
COM_I_P2_TF,P2-I-COMMERCE-FRANCE,99.8,633,1.203,0.715,0.12,0.42,1.05,2.0,2.16,2,2,73.0,463,0.5,0.543,0.08,0.19,0.26,0.5,2.3,6,14
HAB_I_P2_TAR,P2-I-HABITAT-FRANCE_ARDOISE,99.6,49327,1.344,0.697,0.05,0.54,1.68,2.0,2.48,1,2,45.9,22744,0.343,0.223,0.05,0.19,0.27,0.43,1.19,9,13
HAB_I_P2_TBR,P2-I-HABITAT-FRANCE_TUILE,99.6,49327,1.344,0.697,0.05,0.54,1.68,2.0,2.48,1,2,45.9,22744,0.343,0.223,0.05,0.19,0.27,0.43,1.19,9,13
TER_I_P2_TF,P2-I-TERTIAIRE-FRANCE,100.0,320,1.154,0.725,0.07,0.4,0.98,2.0,2.0,3,2,78.1,250,0.435,0.468,0.1,0.19,0.24,0.43,2.3,8,15
HAB_P_P2_TAR,P2-P-HABITAT-FRANCE_ARDOISE,64.4,225040,0.935,0.548,0.05,0.42,0.89,1.55,1.99,2,2,82.3,287699,0.292,0.172,0.05,0.18,0.24,0.34,1.19,11,14
HAB_P_P2_TBR,P2-P-HABITAT-FRANCE_TUILE,64.4,225040,0.935,0.548,0.05,0.42,0.89,1.55,1.99,2,2,82.3,287699,0.292,0.172,0.05,0.18,0.24,0.34,1.19,11,14
HAB_I_P3_TAR,P3-I-HABITAT-FRANCE_ARDOISE,42.8,5876,0.443,0.144,0.05,0.35,0.42,0.54,0.79,8,8,31.0,4256,0.231,0.073,0.06,0.18,0.22,0.3,0.39,15,16
HAB_I_P3_TBR,P3-I-HABITAT-FRANCE_TUILE,42.8,5876,0.443,0.144,0.05,0.35,0.42,0.54,0.79,8,8,31.0,4256,0.231,0.073,0.06,0.18,0.22,0.3,0.39,15,16
HAB_P_P3_TAR,P3-P-HABITAT-FRANCE_ARDOISE,33.6,62423,0.371,0.071,0.05,0.34,0.36,0.42,0.49,9,9,71.9,133420,0.212,0.073,0.05,0.17,0.19,0.25,0.39,17,19
HAB_P_P3_TBR,P3-P-HABITAT-FRANCE_TUILE,33.6,62423,0.371,0.071,0.05,0.34,0.36,0.42,0.49,9,9,71.9,133420,0.212,0.073,0.05,0.17,0.19,0.25,0.39,17,19
HAB_I_P4_TAR,P4-I-HABITAT-FRANCE_ARDOISE,43.6,5166,0.379,0.072,0.06,0.35,0.36,0.43,0.49,9,9,23.3,2758,0.188,0.041,0.06,0.17,0.19,0.23,0.25,19,19
HAB_I_P4_TBR,P4-I-HABITAT-FRANCE_TUILE,43.6,5166,0.379,0.072,0.06,0.35,0.36,0.43,0.49,9,9,23.3,2758,0.188,0.041,0.06,0.17,0.19,0.23,0.25,19,19
HAB_P_P4_TAR,P4-P-HABITAT-FRANCE_ARDOISE,55.6,80594,0.391,0.077,0.05,0.35,0.38,0.45,0.56,9,8,58.8,85140,0.182,0.042,0.05,0.15,0.19,0.2,0.25,20,19
HAB_P_P4_TBR,P4-P-HABITAT-FRANCE_TUILE,55.6,80594,0.391,0.077,0.05,0.35,0.38,0.45,0.56,9,8,58.8,85140,0.182,0.042,0.05,0.15,0.19,0.2,0.25,20,19
HAB_I_P5_TAR,P5-I-HABITAT-FRANCE_ARDOISE,38.8,9083,0.359,0.05,0.05,0.34,0.35,0.4,0.44,10,10,15.2,3567,0.173,0.028,0.06,0.16,0.19,0.19,0.2,21,19
HAB_I_P5_TBR,P5-I-HABITAT-FRANCE_TUILE,38.8,9083,0.359,0.05,0.05,0.34,0.35,0.4,0.44,10,10,15.2,3567,0.173,0.028,0.06,0.16,0.19,0.19,0.2,21,19
HAB_P_P5_TAR,P5-P-HABITAT-FRANCE_ARDOISE,51.2,72630,0.355,0.049,0.05,0.34,0.35,0.39,0.44,9,9,49.6,70330,0.167,0.029,0.05,0.15,0.18,0.19,0.2,22,20
HAB_P_P5_TBR,P5-P-HABITAT-FRANCE_TUILE,51.2,72630,0.355,0.049,0.05,0.34,0.35,0.39,0.44,9,9,49.6,70330,0.167,0.029,0.05,0.15,0.18,0.19,0.2,22,20
HAB_I_P6_TAR,P6-I-HABITAT-FRANCE_ARDOISE,14.0,4442,0.294,0.053,0.06,0.28,0.32,0.33,0.34,11,12,7.1,2261,0.133,0.02,0.05,0.13,0.13,0.15,0.16,28,28
HAB_I_P6_TBR,P6-I-HABITAT-FRANCE_TUILE,14.0,4442,0.294,0.053,0.06,0.28,0.32,0.33,0.34,11,12,7.1,2261,0.133,0.02,0.05,0.13,0.13,0.15,0.16,28,28
TER_I_P6_TF,P6-I-TERTIAIRE-FRANCE,28.3,103,0.317,0.051,0.14,0.3,0.34,0.35,0.35,3,4,56.0,204,0.189,0.037,0.1,0.17,0.19,0.2,0.26,19,19
HAB_P_P6_TAR,P6-P-HABITAT-FRANCE_ARDOISE,25.2,54095,0.285,0.054,0.05,0.26,0.3,0.33,0.34,12,13,30.7,66044,0.135,0.02,0.05,0.13,0.14,0.15,0.16,27,26
HAB_P_P6_TBR,P6-P-HABITAT-FRANCE_TUILE,25.2,54095,0.285,0.054,0.05,0.26,0.3,0.33,0.34,12,13,30.7,66044,0.135,0.02,0.05,0.13,0.14,0.15,0.16,27,26
HAB_I_P7_TAR,P7-I-HABITAT-FRANCE_ARDOISE,8.6,785,0.175,0.028,0.06,0.16,0.18,0.19,0.21,20,21,4.5,412,0.099,0.011,0.06,0.09,0.1,0.11,0.11,38,38
HAB_I_P7_TBR,P7-I-HABITAT-FRANCE_TUILE,8.6,785,0.175,0.028,0.06,0.16,0.18,0.19,0.21,20,21,4.5,412,0.099,0.011,0.06,0.09,0.1,0.11,0.11,38,38
HAB_P_P7_TAR,P7-P-HABITAT-FRANCE_ARDOISE,11.5,5537,0.176,0.03,0.05,0.16,0.18,0.2,0.21,21,21,15.3,7380,0.099,0.011,0.05,0.1,0.1,0.11,0.11,38,38
HAB_P_P7_TBR,P7-P-HABITAT-FRANCE_TUILE,11.5,5537,0.176,0.03,0.05,0.16,0.18,0.2,0.21,21,21,15.3,7380,0.099,0.011,0.05,0.1,0.1,0.11,0.11,38,38
