ID_ARCHETYPE,archetype,perc_wall,wall_count,wall_mean,wall_std,wall_min,wall_Q1,wall_Q2,wall_Q3,wall_max,wall_EP_ISOL_M1_med,wall_EP_ISOL_M1_moy,perc_roof,roof_count,roof_mean,roof_std,roof_min,roof_Q1,roof_Q2,roof_Q3,roof_max,roof_EP_ISOL_T1_med,roof_EP_ISOL_T1_moy
HAB_P_P1_TSCH_TUI,P1-P-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,100,1439,1.289,0.724,0.1,0.42,1.68,2.0,2.0,1,1,100,1439,0.768,0.862,0.06,0.19,0.3,1.2,2.5,3,11
HAB_P_P1_TER_TUI,P1-P-HABITAT-FRANCE_TERRE_TUILE,100,2343,0.903,0.705,0.08,0.35,0.46,1.75,2.5,6,2,100,2343,0.543,0.698,0.06,0.17,0.2,0.43,2.5,5,18
COM_I_P2_TF,P2-I-COMMERCE-FRANCE,100,634,1.205,0.716,0.12,0.42,1.05,2.0,2.5,2,2,100,634,1.039,1.002,0.08,0.2,0.43,2.5,2.5,2,8
HAB_I_P2_TAR,P2-I-HABITAT-FRANCE_ARDOISE,100,49532,1.349,0.7,0.05,0.54,1.68,2.0,4.2,1,2,100,49532,1.448,1.059,0.05,0.3,1.45,2.5,4.2,0,0
HAB_I_P2_TBR,P2-I-HABITAT-FRANCE_TUILE,100,49532,1.349,0.7,0.05,0.54,1.68,2.0,4.2,1,2,100,49532,1.448,1.059,0.05,0.3,1.45,2.5,4.2,0,0
TER_I_P2_TF,P2-I-TERTIAIRE-FRANCE,100,320,1.154,0.725,0.07,0.4,0.98,2.0,2.0,3,2,100,320,0.888,0.952,0.1,0.19,0.34,1.45,2.9,3,10
HAB_P_P2_TAR,P2-P-HABITAT-FRANCE_ARDOISE,100,349662,1.316,0.676,0.05,0.6,1.65,2.0,4.35,0,1,100,349662,0.616,0.748,0.05,0.18,0.3,0.59,4.4,4,11
HAB_P_P2_TBR,P2-P-HABITAT-FRANCE_TUILE,100,349662,1.316,0.676,0.05,0.6,1.65,2.0,4.35,0,1,100,349662,0.616,0.748,0.05,0.18,0.3,0.59,4.4,4,11
HAB_I_P3_TAR,P3-I-HABITAT-FRANCE_ARDOISE,100,13728,0.972,0.6,0.05,0.44,0.84,1.18,3.03,3,3,100,13728,1.305,1.045,0.06,0.31,0.75,2.5,3.57,1,3
HAB_I_P3_TBR,P3-I-HABITAT-FRANCE_TUILE,100,13728,0.972,0.6,0.05,0.44,0.84,1.18,3.03,3,3,100,13728,1.305,1.045,0.06,0.31,0.75,2.5,3.57,1,3
HAB_P_P3_TAR,P3-P-HABITAT-FRANCE_ARDOISE,100,185528,0.816,0.49,0.05,0.42,0.74,1.0,3.0,3,3,100,185528,0.388,0.482,0.05,0.18,0.24,0.4,4.17,8,14
HAB_P_P3_TBR,P3-P-HABITAT-FRANCE_TUILE,100,185528,0.816,0.49,0.05,0.42,0.74,1.0,3.0,3,3,100,185528,0.388,0.482,0.05,0.18,0.24,0.4,4.17,8,14
HAB_I_P4_TAR,P4-I-HABITAT-FRANCE_ARDOISE,100,11838,0.683,0.42,0.06,0.4,0.61,0.8,2.86,5,4,100,11838,1.149,1.049,0.06,0.26,0.42,2.5,3.0,1,7
HAB_I_P4_TBR,P4-I-HABITAT-FRANCE_TUILE,100,11838,0.683,0.42,0.06,0.4,0.61,0.8,2.86,5,4,100,11838,1.149,1.049,0.06,0.26,0.42,2.5,3.0,1,7
HAB_P_P4_TAR,P4-P-HABITAT-FRANCE_ARDOISE,100,144873,0.594,0.312,0.05,0.36,0.48,0.74,3.5,6,5,100,144873,0.309,0.361,0.05,0.18,0.24,0.32,2.5,11,14
HAB_P_P4_TBR,P4-P-HABITAT-FRANCE_TUILE,100,144873,0.594,0.312,0.05,0.36,0.48,0.74,3.5,6,5,100,144873,0.309,0.361,0.05,0.18,0.24,0.32,2.5,11,14
HAB_I_P5_TAR,P5-I-HABITAT-FRANCE_ARDOISE,100,23434,0.538,0.362,0.05,0.36,0.45,0.47,2.7,8,6,100,23434,1.179,1.081,0.06,0.25,0.37,2.5,3.0,1,9
HAB_I_P5_TBR,P5-I-HABITAT-FRANCE_TUILE,100,23434,0.538,0.362,0.05,0.36,0.45,0.47,2.7,8,6,100,23434,1.179,1.081,0.06,0.25,0.37,2.5,3.0,1,9
HAB_P_P5_TAR,P5-P-HABITAT-FRANCE_ARDOISE,100,141836,0.456,0.231,0.05,0.35,0.42,0.47,2.61,8,7,100,141836,0.273,0.333,0.05,0.18,0.22,0.26,2.5,12,16
HAB_P_P5_TBR,P5-P-HABITAT-FRANCE_TUILE,100,141836,0.456,0.231,0.05,0.35,0.42,0.47,2.61,8,7,100,141836,0.273,0.333,0.05,0.18,0.22,0.26,2.5,12,16
HAB_I_P6_TAR,P6-I-HABITAT-FRANCE_ARDOISE,100,31734,0.451,0.324,0.06,0.35,0.36,0.4,3.01,10,7,100,31734,1.051,1.079,0.05,0.2,0.27,2.5,2.5,2,13
HAB_I_P6_TBR,P6-I-HABITAT-FRANCE_TUILE,100,31734,0.451,0.324,0.06,0.35,0.36,0.4,3.01,10,7,100,31734,1.051,1.079,0.05,0.2,0.27,2.5,2.5,2,13
TER_I_P6_TF,P6-I-TERTIAIRE-FRANCE,100,364,0.595,0.514,0.14,0.35,0.4,0.47,2.5,1,0,100,364,0.759,0.944,0.1,0.19,0.23,0.61,2.5,3,15
HAB_P_P6_TAR,P6-P-HABITAT-FRANCE_ARDOISE,100,214978,0.385,0.204,0.05,0.34,0.36,0.4,5.0,10,9,100,214978,0.229,0.292,0.05,0.15,0.19,0.23,2.5,15,19
HAB_P_P6_TBR,P6-P-HABITAT-FRANCE_TUILE,100,214978,0.385,0.204,0.05,0.34,0.36,0.4,5.0,10,9,100,214978,0.229,0.292,0.05,0.15,0.19,0.23,2.5,15,19
HAB_I_P7_TAR,P7-I-HABITAT-FRANCE_ARDOISE,100,9137,0.534,0.51,0.06,0.3,0.36,0.4,2.5,9,5,100,9137,0.799,0.972,0.06,0.19,0.25,1.45,2.5,3,14
HAB_I_P7_TBR,P7-I-HABITAT-FRANCE_TUILE,100,9137,0.534,0.51,0.06,0.3,0.36,0.4,2.5,9,5,100,9137,0.799,0.972,0.06,0.19,0.25,1.45,2.5,3,14
HAB_P_P7_TAR,P7-P-HABITAT-FRANCE_ARDOISE,100,48162,0.437,0.406,0.05,0.27,0.35,0.36,4.3,10,8,100,48162,0.267,0.435,0.05,0.13,0.16,0.2,2.5,13,23
HAB_P_P7_TBR,P7-P-HABITAT-FRANCE_TUILE,100,48162,0.437,0.406,0.05,0.27,0.35,0.36,4.3,10,8,100,48162,0.267,0.435,0.05,0.13,0.16,0.2,2.5,13,23
