TYPE VENTILATION MECANIQUE,TAUX D ECHANGE VENTILATION MECANIQUE [1/h],FRACTION DE TOITS VEGETALISES,FRACTION DE PANNEAUX SOLAIRES,EMISSIVITE DES PANNEAUX SOLAIRES,EFFICACITE DES PANNEAUX SOLAIRES
NON,0.0,0.0,0.0,0.9,0.14
OUI,0.3,0.0,0.0,0.9,0.14
