INSEE_DEP,Part_Tui,Part_Ard,Part_Zin,Dens_toit,Toit,P1Old,P2Old,Terr_P1,Terr_P2,Diff_P1
"33",0.970047235514019,0.008752912149533,0.021199833644860,0.009249605607477,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"34",0.972540055555555,0.020000324561403,0.007459611111111,0.007632388888889,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"35",0.012478558558559,0.956439678678678,0.031081795795796,0.006348576576577,Ardoise,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,"1"
"36",0.727899987551867,0.252152759336099,0.019947240663900,0.002448273858921,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"37",0.463468551470588,0.514410378676471,0.022121055147059,0.005453639705882,Ardoise,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,"1"
"38",0.868042423828125,0.058250148437500,0.073707417968750,0.006597289062500,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"03",0.852689321766562,0.056076091482650,0.024988533123028,0.003444230283912,Tuile,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,"0"
"39",0.956833627530365,0.004447427125506,0.038718941295547,0.002996064777328,Tuile,FRANCE_TERRE_TUILE,FRANCE_TUILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,"1"
"40",0.965895899082568,0.003718822629969,0.030385259938838,0.003871642201835,Tuile,FRANCE_BOIS_TUILE,FRANCE_TUILE,FRANCE_BOIS_TUILE,FRANCE_TUILE,"1"
"41",0.702691153558052,0.274573943820225,0.022734872659176,0.003802606741573,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"0"
"42",0.961938510835913,0.004305402476780,0.033756089783282,0.006830798761610,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"43",0.934231381322957,0.018279696498054,0.028033677042802,0.003483050583658,Tuile,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,"1"
"44",0.400166144927536,0.578258642512078,0.021575159420290,0.010979149758454,Ardoise,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,"1"
"45",0.753182046153846,0.230105790769231,0.016712175384615,0.004966873846154,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"0"
"46",0.923534169329074,0.057442175718850,0.019023648562300,0.002679236421725,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"47",0.981911006269592,0.003955789968652,0.014133200626959,0.004028037617555,Tuile,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,"1"
"48",0.427013013157895,0.549556118421053,0.023430763157895,0.000869717105263,Ardoise,FRANCE_PIERRE_SCHISTE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,"1"
"04",0.895536813131313,0.026085949494949,0.078377227272727,0.001331964646465,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"49",0.210115242937853,0.765104943502825,0.024779813559322,0.005925350282486,Ardoise,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,"1"
"50",0.288470197309417,0.683985872197309,0.027543912556054,0.004284298206278,Ardoise,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,"1"
"51",0.739987592169657,0.049123750407830,0.029811973898858,0.002577386623165,Tuile,FRANCE_TERRE_TUILE,FRANCE_TUILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,"1"
"52",0.971601431924882,0.007795077464789,0.020603483568075,0.001669617370892,Tuile,FRANCE_TERRE_TUILE,FRANCE_TUILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,"1"
"53",0.097081395833333,0.883914970833334,0.019003625000000,0.002870233333333,Ardoise,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,"0"
"54",0.945305768189510,0.012881568527919,0.041812654822335,0.005175389170897,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"55",0.733442166332664,0.012152490981964,0.027952416833667,0.001357891783567,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"56",0.012476425702811,0.963768947791164,0.023754610441767,0.008710590361446,Ardoise,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,"1"
"57",0.941107915862068,0.014831428965517,0.044060649655172,0.005726190344828,Tuile,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,"1"
"05",0.633488975308642,0.117816666666667,0.248694345679012,0.001065438271605,Tuile,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,"1"
"58",0.727887275080906,0.259210012944984,0.012902721682848,0.002355621359223,Tuile,FRANCE_TERRE_ARDOISE,FRANCE_ARDOISE,FRANCE_TERRE_TUILE,FRANCE_TUILE,"0"
